Aakas;Defender;250;0; ;17; ; ;Minimal;2;425; ; ;80;100;80;25;25; ; ; ; ; ; ; ; ; 
Aakas;Paladin;700;0; ;36; ; ;Limited;6;2520; ; ;80;100;80;70;25; ; ; ; ; ; ; ; ; 
Aakas;Sentinel;1300; ; ;66; ; ;Large;12;8580; ; ;80;100;80;130;25; ; ; ; ; ; ; ; ; 
Aakas;Warden;2000; ; ;161; ; ;Great;22;32200; ; ;80;100;80;200;25; ; ; ; ; ; ; ; ; 
Achelous;Young;150; ; ;24; ; ; ;4;360; ; ; ; ; ;15; ; ; ; ; ; ; ; ; ; 
Achelous;Mature;180; ; ;30; ; ; ;5;540; ; ; ; ; ;18; ; ; ; ; ; ; ; ; ; 
Achelous;Old;200; ; ;35; ; ; ;7;700; ; ; ; ; ;20; ; ; ; ; ; ; ; ; ; 
Achelous;Provider;220; ; ;39; ; ; ;6;858; ; ; ; ; ;22; ; ; ; ; ; ; ; ; ; 
Achelous;Old Alpha; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Achelous;Prowler; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Achelous;Stalker; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Achelous;Leader; ; ; ; ; ; ;Medium; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Admiral Akzar;Single Maturity Mob;9000; ; ; ; ; ;Great;38; ; ; ;100;100;100;900;100; ; ; ; ; ; ; ; ; 
Aetherex;Young;600; ; ;57; ; ;Medium;13;3420; ; ;70;13;5;60;75; ; ;57; ; ; ; ; ; 
Aetherex;Provider;750;2550;0.29;72; ; ;Large;18;5400; ; ;83;13;5;75;85; ; ; ; ; ; ; ; ; 
Aetherex;Old;710;2420;0.29;68; ; ;Large;18;4828; ; ;78;13;5;71;80; ; ; ; ; ; ; ; ; 
Aetherex;Mature;650;3320;0.2; ; ; ;Large;13; ; ; ;73;13;5;65;77; ; ; ; ; ; ; ; ; 
Aetherex;Guardian;760;1950;0.39;80; ; ;Large;17;6080; ; ;80;13;5;76;85; ; ; ; ; ; ; ; ; 
Aetherex;Dominant;800; ; ; ; ; ;Large;18; ; ; ;80;14;5;80;85; ; ; ; ; ; ; ; ; 
Aetherex;Old Alpha;900; ; ;98; ; ;Great;22;8820; ; ;82;15;5;90;88; ; ; ; ; ; ; ; ; 
